ID_BRAND,BRAND
2,Gucci
4,APC
5,Cacharel
6,Celine
9,Chloé
10,Dior
14,Hermès
15,Isabel Marant
16,Les Prairies De Paris
17,Louis Vuitton
18,Marc Jacobs
19,Moschino
20,OLD ENGLAND
21,Paco Rabanne
22,Pierre Hardy
23,Sandro
25,Tom Ford
26,Kris Van Assche
28,Zadig & Voltaire
30,Veja
31,Superga
32,Start Rite
33,Gallucci
34,Bonpoint
35,Luco
36,Zef
37,Ralph Lauren
38,Kids Case
39,Oshkosh
40,Cyrillus
42,Imps & Elfs
43,Odetta
45,IISLI
46,Marc by Marc Jacobs
47,Dolce & Gabbana
48,Costume National
49,Jil Sander
50,Chanel
51,SANS MARQUE
52,Christian Wijnants
55,Diane Von Furstenberg
56,Versus
57,Fendi
58,Yves Saint Laurent
59,Paul & Joe
60,Prada
61,Nike
62,Maison Martin Margiela
63,Paul Smith
64,La Perla
65,Stella McCartney
66,Givenchy
67,Martine Sitbon
68,Sonia Rykiel
70,Patrizia Pepe
71,Vanessa Bruno
72,Bcbg Max Azria
73,7 For All Mankind
75,Moncler
76,Les Bijoux De Sophie
77,Emilio Pucci
78,Pasquale Bruni
79,Sprung Frères
80,See by Chloé
81,Bruno Frisoni
82,Marni
84,JUNK DE LUXE
85,IZZUE
86,DARJA RICHTER
87,VOLCOM MADE YOU LOOK
88,Valentino Garavani
90,Paul Smith Blue
91,Paul Smith Black
92,LIL
93,Tod's
94,Burberry
95,JUICY COUTURE JEANS
96,Majestic
97,Lacoste
98,Agnès B.
99,Michael Kors
100,Véronique Branquinho
102,Sergio Rossi
104,JÉROME L'HUILLIER
105,Viktor & Rolf
106,Thierry Mugler
107,PLEIN SUD JEANS
108,Diesel
109,Citizens Of Humanity
110,Helmut Lang
111,EURYTHMIC
112,Calvin Klein
113,Roger Vivier
114,Derek Lam
115,Bottega Veneta
116,Dior Homme
117,Miu Miu
118,Maje
119,Alaïa
120,C.P COMPANY
121,Levi's
122,PAPILLON
124,Bensimon
125,Converse
126,Aigle
127,Spring Court
128,American Apparel
129,MONSTER WITH SIDEBURNS
130,GAP
131,Oscar & Valentine
132,Bonton
133,Tartine Et Chocolat
134,Alice A Paris
135,Molli
136,Le Marchand D'Etoiles
137,Baby Dior
138,FIRST
139,MOUSE
140,Tuss
141,Hugo Boss
142,THOMAS BURBERRY
143,CHRISTIAN AUDIGIER
145,Max & Co
146,PIAZZA SEMPIONE
147,REQUIEM
148,John Galliano
149,Iceberg
150,Vans
